Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Year,Sales,Critic_Score_boxcox,User_Score_boxcox
2554,White Knight Chronicles: International Edition,10,5,8,32,68,6.3,7.9,2010.0,0.95,1.8040784998874704,1.1797390349054808
2602,Bayonetta,0,6,15,31,89,8.9,9.5,2010.0,0.93,2.1347307114734755,1.229736527294403
2665,Lost Odyssey,10,5,15,21,75,7.5,9.3,2008.0,0.9,1.9712498725148517,1.2242488507217923
2680,Resistance: Retribution,11,6,11,32,104,8.0,7.6,2009.0,0.9,2.032968794763432,1.16851670300383
2766,Paper Mario: Color Splash,1,3,14,27,58,7.4,6.4,2016.0,0.87,1.9584023628786658,1.115403968916292
3026,MadWorld,0,6,13,31,89,8.1,8.1,2009.0,0.78,2.0448386198876856,1.1868478680746528
3043,Tom Clancy's Splinter Cell: Double Agent,0,6,15,39,130,8.5,8.3,2006.0,0.78,2.0908656916242108,1.193680474153519
3075,Perfect Dark Zero,11,6,15,21,94,8.1,8.9,2005.0,0.77,2.0448386198876856,1.2126840967047017
3138,Harry Potter and the Half-Blood Prince,0,4,13,11,14,6.0,3.8,2009.0,0.76,1.757184108388042,0.9159847934980094
3206,X-Men Origins: Wolverine - Uncaged Edition,0,6,8,1,95,7.0,8.7,2009.0,0.74,1.9051750086008348,1.2065836290555187
3214,Tales of Vesperia,10,5,15,24,79,8.1,9.2,2008.0,0.74,2.0448386198876856,1.221433422656777
3215,Resonance of Fate,10,5,8,31,143,7.5,8.2,2010.0,0.74,1.9712498725148517,1.1902976013190072
3251,Star Ocean: The Last Hope International,10,5,8,35,143,8.1,9.5,2010.0,0.73,2.0448386198876856,1.229736527294403
3314,Silent Hill 3,2,6,7,17,120,8.4,9.0,2003.0,0.71,2.079569725380676,1.2156525053377367
3438,The Last Remnant,10,6,15,35,114,6.5,8.0,2008.0,0.68,1.83409048386904,1.1833291027698085
3625,New Play Control! Pikmin,14,3,13,27,83,7.7,9.3,2009.0,0.64,1.9964279097031141,1.2242488507217923
3634,Phantasy Star Portable,10,5,11,31,4,7.1,9.1,2009.0,0.64,1.9187678386322737,1.2185684511212578
3700,Okami,2,5,7,7,29,9.4,9.0,2006.0,0.63,2.186811937663683,1.2156525053377367
3732,Red Steel 2,11,5,13,39,127,7.8,8.5,2010.0,0.62,2.008767447051412,1.2002538631850523
3774,Metroid Prime: Trilogy,11,5,13,27,99,9.0,9.6,2009.0,0.61,2.1453822341237494,1.2324113729573496
3831,Okami,2,5,13,7,97,9.0,9.6,2008.0,0.6,2.1453822341237494,1.2324113729573496
3834,Suikoden,10,3,6,17,63,8.2,8.0,1996.0,0.6,2.056559641105323,1.1833291027698085
3835,Muramasa: The Demon Blade,10,5,13,15,134,8.0,9.3,2009.0,0.6,2.032968794763432,1.2242488507217923
4069,Starlink: Battle for Atlas,1,4,4,39,131,7.5,6.0,2018.0,0.57,1.9712498725148517,1.0939876565932412
4120,Tom Clancy's HAWX,0,5,8,39,128,7.5,8.4,2009.0,0.56,1.9712498725148517,1.196998564812187
4161,No More Heroes,0,6,13,39,51,8.2,8.3,2008.0,0.56,2.056559641105323,1.193680474153519
4169,Lunar: Silver Star Story Complete,10,5,6,42,46,7.6,10.0,1999.0,0.55,1.9839235233022068,1.2426789098694524
