Rank,Name,Platform,Publisher,Developer,Year,Sales,Sales_scaled,ESRB_Rating_scaled,Genre_scaled,Platform_scaled,Publisher_scaled,Developer_scaled,Year_scaled,Critic_Score_boxcox_scaled,User_Score_boxcox_scaled
1772,Final Fantasy: Crystal Chronicles,2,27,114,2004.0,1.3,0.03500269251480883,0.6666666666666665,0.7142857142857142,0.1111111111111111,0.627906976744186,0.7972027972027972,0.36363636363635976,0.3782806288255718,0.41178426832359394
1775,Resident Evil: The Umbrella Chronicles,13,7,21,2007.0,1.3,0.03500269251480883,1.0,0.7857142857142857,0.7222222222222222,0.16279069767441862,0.14685314685314685,0.5,0.3657590044675687,0.44277606029051264
1814,Castlevania: Symphony of the Night,6,17,66,1997.0,1.27,0.0341949380721594,0.6666666666666665,0.5,0.3333333333333333,0.3953488372093023,0.46153846153846156,0.045454545454546746,0.46789725056765674,0.49631012983250167
1916,Bayonetta,8,31,89,2010.0,1.21,0.03257942918686053,1.0,0.0,0.4444444444444444,0.7209302325581395,0.6223776223776224,0.636363636363626,0.43079735325566315,0.39154744090065474
1942,Final Fantasy IV,1,35,72,2008.0,1.2,0.032310177705977376,0.33333333333333326,0.7142857142857142,0.05555555555555555,0.813953488372093,0.5034965034965035,0.5454545454545467,0.42524673748515707,0.49631012983250167
1951,Sonic and the Black Knight,13,31,111,2009.0,1.2,0.032310177705977376,0.33333333333333326,0.5,0.7222222222222222,0.7209302325581395,0.7762237762237763,0.5909090909090935,0.15231957772478888,0.47080687478001737
2002,Army of Two,8,11,35,2008.0,1.17,0.031502423263327944,1.0,0.7857142857142857,0.4444444444444444,0.2558139534883721,0.24475524475524477,0.5454545454545467,0.35936963867240057,0.36991042244217387
2020,World of Warcraft,5,6,12,2004.0,1.16,0.0312331717824448,0.6666666666666665,0.2857142857142857,0.2777777777777778,0.13953488372093023,0.08391608391608392,0.36363636363635976,0.4627754926326392,0.44277606029051264
2030,The Elder Scrolls V: Skyrim,4,5,10,2017.0,1.15,0.030963920301561653,1.0,0.7142857142857142,0.2222222222222222,0.11627906976744186,0.06993006993006994,0.9545454545454533,0.43079735325566315,0.5011395237686023
2057,Shadow of the Colossus,7,32,119,2005.0,1.14,0.03069466882067851,0.6666666666666665,0.14285714285714285,0.38888888888888884,0.7441860465116279,0.8321678321678322,0.4090909090909065,0.45759652980642274,0.5151305513614208
2082,Mirror's Edge,8,11,34,2008.0,1.13,0.030425417339795365,0.6666666666666665,0.5,0.4444444444444444,0.2558139534883721,0.23776223776223776,0.5454545454545467,0.3782806288255718,0.4543172984120898
2166,FIFA 18,4,10,36,2017.0,1.1,0.029617662897145933,0.0,0.9285714285714285,0.2222222222222222,0.23255813953488372,0.2517482517482518,0.9545454545454533,0.24307956310859502,0.5011395237686023
2204,Dante's Inferno,8,11,137,2010.0,1.08,0.029079159935379646,1.0,0.0,0.4444444444444444,0.2558139534883721,0.958041958041958,0.636363636363626,0.3528914299284248,0.45992001765533397
2217,Star Fox: Assault,2,27,78,2005.0,1.08,0.029079159935379646,0.6666666666666665,0.7857142857142857,0.1111111111111111,0.627906976744186,0.5454545454545454,0.4090909090909065,0.3048342186739078,0.47080687478001737
2224,Prince of Persia,8,39,126,2008.0,1.07,0.028809908454496498,0.6666666666666665,0.14285714285714285,0.4444444444444444,0.9069767441860465,0.8811188811188811,0.5454545454545467,0.4139424861270985,0.4543172984120898
2343,Dragon Ball Z: Budokai Tenkaichi 3,13,3,113,2007.0,1.03,0.02773290253096392,0.6666666666666665,0.21428571428571427,0.7222222222222222,0.06976744186046512,0.7902097902097902,0.5,0.3657590044675687,0.4760974655165917
2379,Prince of Persia,15,39,126,2008.0,1.01,0.027194399569197628,0.6666666666666665,0.14285714285714285,0.8333333333333333,0.9069767441860465,0.8811188811188811,0.5454545454545467,0.40818553948182534,0.2948086183559251
2398,Devil May Cry 3: Dante's Awakening Special Edition,7,7,16,2006.0,1.0,0.026925148088314484,1.0,0.0,0.38888888888888884,0.16279069767441862,0.11188811188811189,0.45454545454545325,0.4417034123875093,0.4760974655165917
2416,MotorStorm: Pacific Rift,8,32,41,2008.0,1.0,0.026925148088314484,0.6666666666666665,0.6428571428571428,0.4444444444444444,0.7441860465116279,0.2867132867132867,0.5454545454545467,0.39645326210167087,0.4812902428469137
2426,Valkyria Chronicles,8,31,110,2008.0,1.0,0.026925148088314484,0.6666666666666665,0.7142857142857142,0.4444444444444444,0.7209302325581395,0.7692307692307693,0.5454545454545467,0.4196289903587781,0.5327079863776907
2514,de Blob,13,37,13,2008.0,0.96,0.025848142164781904,0.0,0.5,0.7222222222222222,0.8604651162790697,0.09090909090909091,0.5454545454545467,0.40235640261615,0.44277606029051264
2547,Red Steel,13,39,127,2006.0,0.95,0.025578890683898757,0.6666666666666665,0.7857142857142857,0.7222222222222222,0.9069767441860465,0.8881118881118881,0.45454545454545325,0.25125956839375474,0.43076228317626963
2554,White Knight Chronicles: International Edition,8,32,68,2010.0,0.95,0.025578890683898757,0.6666666666666665,0.7142857142857142,0.4444444444444444,0.7441860465116279,0.4755244755244755,0.636363636363626,0.2826207869885782,0.436830184317045
2602,Bayonetta,15,31,89,2010.0,0.93,0.025040387722132473,1.0,0.0,0.8333333333333333,0.7209302325581395,0.6223776223776224,0.636363636363626,0.4470618335906197,0.5196361088742993
2665,Lost Odyssey,15,21,75,2008.0,0.9,0.024232633279483037,0.6666666666666665,0.7142857142857142,0.8333333333333333,0.4883720930232558,0.5244755244755245,0.5454545454545467,0.3657590044675687,0.5105474104105558
2680,Resistance: Retribution,11,32,104,2009.0,0.9,0.024232633279483037,1.0,0.7857142857142857,0.611111111111111,0.7441860465116279,0.7272727272727273,0.5909090909090935,0.39645326210167087,0.41824374078951965
2766,Paper Mario: Color Splash,14,27,58,2016.0,0.87,0.023424878836833602,0.0,0.07142857142857142,0.7777777777777777,0.627906976744186,0.40559440559440557,0.9090909090909065,0.35936963867240057,0.3302783480920124
3026,MadWorld,13,31,89,2009.0,0.78,0.021001615508885296,1.0,0.0,0.7222222222222222,0.7209302325581395,0.6223776223776224,0.5909090909090935,0.40235640261615,0.448603844854208
3043,Tom Clancy's Splinter Cell: Double Agent,15,39,130,2006.0,0.78,0.021001615508885296,1.0,0.0,0.8333333333333333,0.9069767441860465,0.9090909090909091,0.45454545454545325,0.42524673748515707,0.45992001765533397
3075,Perfect Dark Zero,15,21,94,2005.0,0.77,0.020732364028002152,1.0,0.7857142857142857,0.8333333333333333,0.4883720930232558,0.6573426573426573,0.4090909090909065,0.40235640261615,0.4913938468435439
3206,X-Men Origins: Wolverine - Uncaged Edition,8,1,95,2009.0,0.74,0.019924609585352717,1.0,0.0,0.4444444444444444,0.023255813953488372,0.6643356643356644,0.5909090909090935,0.33289843558163434,0.4812902428469137
3214,Tales of Vesperia,15,24,79,2008.0,0.74,0.019924609585352717,0.6666666666666665,0.7142857142857142,0.8333333333333333,0.5581395348837209,0.5524475524475524,0.5454545454545467,0.40235640261615,0.5058844940759826
3215,Resonance of Fate,8,31,143,2010.0,0.74,0.019924609585352717,0.6666666666666665,0.7142857142857142,0.4444444444444444,0.7209302325581395,1.0,0.636363636363626,0.3657590044675687,0.4543172984120898
