Rank,Name,Platform,Publisher,Developer,Year,Sales,Sales_scaled,ESRB_Rating_scaled,Genre_scaled,Platform_scaled,Publisher_scaled,Developer_scaled,Year_scaled,Critic_Score_boxcox_scaled,User_Score_boxcox_scaled
152,Uncharted 2: Among Thieves,8,32,80,2009.0,6.74,0.18147549811523964,0.6666666666666665,0.0,0.4444444444444444,0.7441860465116279,0.5594405594405595,0.5909090909090935,0.4779740597177907,0.5240661924161956
153,Call of Duty 4: Modern Warfare,8,1,56,2007.0,6.72,0.18093699515347333,1.0,0.7857142857142857,0.4444444444444444,0.023255813953488372,0.3916083916083916,0.5,0.4779740597177907,0.5240661924161956
161,Red Dead Redemption,15,30,103,2010.0,6.5,0.17501346257404415,1.0,0.0,0.8333333333333333,0.6976744186046512,0.7202797202797203,0.636363636363626,0.4779740597177907,0.5410713029989174
163,Final Fantasy XII,7,35,114,2006.0,6.4,0.1723209477652127,0.6666666666666665,0.7142857142857142,0.38888888888888884,0.813953488372093,0.7972027972027972,0.45454545454545325,0.47296304048700166,0.5196361088742993
177,Metal Gear Solid 2: Sons of Liberty,7,17,65,2001.0,6.05,0.16289714593430263,1.0,0.0,0.38888888888888884,0.3953488372093023,0.45454545454545453,0.22727272727271952,0.4779740597177907,0.377287961219017
181,Metal Gear Solid 4: Guns of the Patriots,8,17,62,2008.0,6.0,0.16155088852988692,1.0,0.0,0.4444444444444444,0.3953488372093023,0.43356643356643354,0.5454545454545467,0.46789725056765674,0.5327079863776907
185,LittleBigPlanet,8,32,73,2008.0,5.85,0.15751211631663972,0.0,0.5,0.4444444444444444,0.7441860465116279,0.5104895104895105,0.5454545454545467,0.47296304048700166,0.5058844940759826
203,Assassin's Creed,15,39,126,2007.0,5.55,0.1494345718901454,1.0,0.0,0.8333333333333333,0.9069767441860465,0.8811188811188811,0.5,0.40818553948182534,0.44277606029051264
205,Forza Motorsport 3,15,21,124,2009.0,5.5,0.14808831448572965,0.0,0.6428571428571428,0.8333333333333333,0.4883720930232558,0.8671328671328671,0.5909090909090935,0.4627754926326392,0.5327079863776907
217,Final Fantasy XIII,8,35,114,2010.0,5.35,0.14404954227248248,0.6666666666666665,0.7142857142857142,0.4444444444444444,0.813953488372093,0.7972027972027972,0.636363636363626,0.39645326210167087,0.5058844940759826
234,God of War III,8,32,105,2010.0,5.2,0.14001077005923532,1.0,0.0,0.4444444444444444,0.7441860465116279,0.7342657342657343,0.636363636363626,0.4627754926326392,0.5151305513614208
244,Resident Evil 5,8,7,16,2009.0,5.1,0.13731825525040386,1.0,0.0,0.4444444444444444,0.16279069767441862,0.11188811188811189,0.5909090909090935,0.43079735325566315,0.4863881086091897
256,Gears of War,15,21,40,2006.0,5.0,0.1346257404415724,1.0,0.7857142857142857,0.8333333333333333,0.4883720930232558,0.27972027972027974,0.45454545454545325,0.47296304048700166,0.5151305513614208
257,Gears of War 2,15,21,40,2008.0,5.0,0.1346257404415724,1.0,0.7857142857142857,0.8333333333333333,0.4883720930232558,0.27972027972027974,0.5454545454545467,0.47296304048700166,0.5196361088742993
262,Uncharted: Drake's Fortune,8,32,80,2007.0,4.97,0.13381798599892297,0.6666666666666665,0.0,0.4444444444444444,0.7441860465116279,0.5594405594405595,0.5,0.4362824066298535,0.4760974655165917
264,Fallout 3,15,5,9,2008.0,4.96,0.13354873451803984,1.0,0.7142857142857142,0.8333333333333333,0.11627906976744186,0.06293706293706294,0.5454545454545467,0.45235908390724366,0.4760974655165917
275,Assassin's Creed,8,39,126,2007.0,4.83,0.13004846526655897,1.0,0.0,0.4444444444444444,0.9069767441860465,0.8811188811188811,0.5,0.40818553948182534,0.47080687478001737
285,Monster Hunter: World,9,7,16,2018.0,4.67,0.12574044157242864,0.6666666666666665,0.0,0.5,0.16279069767441862,0.11188811188811189,1.0,0.46789725056765674,0.49631012983250167
286,Gran Turismo,11,32,90,2009.0,4.67,0.12574044157242864,0.0,0.6428571428571428,0.611111111111111,0.7441860465116279,0.6293706293706294,0.5909090909090935,0.3782806288255718,0.5196361088742993
321,Resistance: Fall of Man,8,32,57,2006.0,4.37,0.1176628971459343,1.0,0.7857142857142857,0.4444444444444444,0.7441860465116279,0.3986013986013986,0.45454545454545325,0.42524673748515707,0.5011395237686023
325,Animal Crossing: City Folk,13,27,83,2008.0,4.32,0.11631663974151858,0.0,0.8571428571428571,0.7222222222222222,0.627906976744186,0.5804195804195804,0.5454545454545467,0.3396584665698803,0.4863881086091897
332,God of War II,7,32,105,2007.0,4.24,0.11416262789445342,1.0,0.0,0.38888888888888884,0.7441860465116279,0.7342657342657343,0.5,0.46789725056765674,0.5327079863776907
341,Street Fighter IV,8,7,17,2009.0,4.19,0.11281637049003769,0.6666666666666665,0.21428571428571427,0.4444444444444444,0.16279069767441862,0.11888111888111888,0.5909090909090935,0.46789725056765674,0.49631012983250167
376,World of Warcraft: Wrath of the Lich King,5,6,12,2008.0,4.0,0.10770059235325793,0.6666666666666665,0.2857142857142857,0.2777777777777778,0.13953488372093023,0.08391608391608392,0.5454545454545467,0.46789725056765674,0.5105474104105558
400,Monster Hunter Freedom Unite,11,7,18,2009.0,3.8,0.10231556273559503,0.6666666666666665,0.7142857142857142,0.611111111111111,0.16279069767441862,0.1258741258741259,0.5909090909090935,0.3782806288255718,0.5284228328989069
417,Banjo-Kazooie,3,27,94,1998.0,3.65,0.09827679052234786,0.0,0.5,0.16666666666666666,0.627906976744186,0.6573426573426573,0.09090909090909349,0.46789725056765674,0.5151305513614208
420,Jak and Daxter: The Precursor Legacy,7,32,80,2001.0,3.64,0.09800753904146473,0.0,0.5,0.38888888888888884,0.7441860465116279,0.5594405594405595,0.22727272727271952,0.45235908390724366,0.4913938468435439
450,Left 4 Dead,15,40,22,2008.0,3.52,0.09477652127086698,1.0,0.7857142857142857,0.8333333333333333,0.9302325581395349,0.15384615384615385,0.5454545454545467,0.4362824066298535,0.49631012983250167
